#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1        0.836266        0.836266               0
               2        0.834448        0.835357     0.000642578
               3        0.835851        0.835522     0.000449041
               4        0.835335        0.835475       0.0003392
               5        0.836309        0.835642     0.000309663
               6        0.834586        0.835466     0.000303972
               7        0.837003        0.835685     0.000330451
               8        0.835391        0.835649     0.000291185
               9        0.835838         0.83567      0.00025959
              10        0.836136        0.835716     0.000237777
              11        0.838189        0.835941     0.000304434
              12        0.834292        0.835804     0.000308539
              13        0.834819        0.835728     0.000293945
              14         0.83517        0.835688     0.000275633
              15        0.835557        0.835679     0.000257396
              16        0.836478        0.835729     0.000246098
              17        0.837334        0.835824     0.000249066
              18        0.837319        0.835907     0.000248697
              19        0.836584        0.835942     0.000238147
              20        0.836506         0.83597     0.000227899
