#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1        0.814238        0.814238               0
               2        0.814753        0.814496      0.00018192
               3        0.815423        0.814805     0.000279927
               4         0.81362        0.814509     0.000331451
               5        0.815967          0.8148      0.00037203
               6        0.814267        0.814711     0.000320464
               7        0.814999        0.814753     0.000277309
               8        0.814272        0.814693     0.000249055
               9        0.814904        0.814716     0.000222487
              10        0.814983        0.814743      0.00020183
              11        0.813118        0.814595     0.000231282
              12        0.813952        0.814541     0.000218132
              13        0.813967        0.814497     0.000205776
              14        0.815176        0.814546     0.000196709
              15        0.815622        0.814617     0.000196235
              16        0.814966        0.814639     0.000185173
              17         0.81522        0.814673       0.0001774
              18        0.814372        0.814657     0.000168331
              19        0.814977        0.814674     0.000160314
              20        0.814799         0.81468      0.00015242
