#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
               1             1.2             1.2               0
               2             1.2             1.2               0
               3             1.2             1.2               0
               4             1.2             1.2               0
               5             1.2             1.2               0
               6             1.2             1.2               0
               7             1.2             1.2               0
               8             1.2             1.2               0
               9             1.2             1.2               0
              10             1.2             1.2               0
              11             1.2             1.2               0
              12             1.2             1.2               0
              13             1.2             1.2               0
              14             1.2             1.2               0
              15             1.2             1.2     5.44113e-09
              16             1.2             1.2     5.26836e-09
              17             1.2             1.2     5.11106e-09
              18             1.2             1.2     7.02447e-09
              19             1.2             1.2     6.83712e-09
              20             1.2             1.2       6.664e-09
